prompt,outdir,skip_grid,skip_save,ddim_steps,fixed_code,ddim_eta,n_iter,H,W,C,f,n_samples,n_rows,scale,device,from_file,seed,unet_bs,turbo,precision,format,sampler,ckpt,meta_mode
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,942167,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,236556,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,511077,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,683369,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,455126,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,897787,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,445055,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,779210,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,942380,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,393934,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,296973,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,213445,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,910007,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,708208,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,954855,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,602206,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,604258,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,617423,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,682556,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,457333,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,151627,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,326406,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,640498,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,270589,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,867417,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,976775,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,782453,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,15704,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,682167,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,330569,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,223088,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,955404,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,371671,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,673589,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,973556,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,378553,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,386817,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,338378,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,804806,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,722445,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,774660,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,830816,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,965962,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,588169,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,542013,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,801632,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,184219,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,396646,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,336448,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,276403,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,387676,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,208060,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,342059,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,834846,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,225542,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,310357,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,103079,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,124099,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,770881,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,734077,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,true
