prompt,outdir,skip_grid,skip_save,ddim_steps,fixed_code,ddim_eta,n_iter,H,W,C,f,n_samples,n_rows,scale,device,from_file,seed,unet_bs,turbo,precision,format,sampler,ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,15.0,cuda,,644429,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,15.0,cuda,,965793,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,15.0,cuda,,132623,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,15.0,cuda,,744401,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,744975,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,930330,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,731021,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,252653,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,531126,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,497618,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,757769,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,735832,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,658503,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,398730,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,492304,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,224,224,4,8,1,0,20.0,cuda,,222560,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,224,224,4,8,1,0,20.0,cuda,,868767,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,312,312,4,8,1,0,20.0,cuda,,551327,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,412,412,4,8,1,0,20.0,cuda,,86967,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,911509,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,12.0,cuda,,120065,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,12.0,cuda,,383044,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,12.0,cuda,,54360,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,18.0,cuda,,419279,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,18.0,cuda,,417643,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,18.0,cuda,,745832,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,18.0,cuda,,302108,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,18.0,cuda,,409981,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,18.0,cuda,,39892,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,305619,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,113659,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,618328,1,False,autocast,png,ddim,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,912164,1,False,autocast,png,euler_a,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,538660,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,97028,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,227216,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,503075,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,150332,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,424952,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,92580,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,68021,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,773025,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,76091,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,47715,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,475209,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,390729,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,890924,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,730500,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,785249,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,2862,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,842369,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,4963,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,230812,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20.0,cuda,,363057,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,162174,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
